begin	end	entityId	entityKind
102	114	e_n_2_40_0	LOC
156	160	e_n_2_40_1	LOC
160	163	e_n_2_40_2	LOC
305	316	e_n_2_40_3	LOC
330	332	e_n_2_40_4	LOC
332	340	e_n_2_40_5	LOC
425	429	e_n_2_40_6	LOC
429	432	e_n_2_40_7	LOC
467	475	e_n_2_40_8	SHP
480	488	e_n_2_40_9	LOC
500	502	e_n_2_40_10	LOC
502	510	e_n_2_40_11	LOC
586	590	e_n_2_40_12	LOC
590	593	e_n_2_40_13	LOC
750	759	e_n_2_40_14	ORG
979	987	e_n_2_40_15	PER
989	999	e_n_2_40_16	PER
1016	1027	e_n_2_40_17	LOC
1053	1057	e_n_2_40_18	LOC
1057	1060	e_n_2_40_19	PER
1060	1062	e_n_2_40_20	SHP
1223	1226	e_n_2_40_21	LOC
1226	1231	e_n_2_40_22	SHP
1282	1287	e_n_2_40_23	SHP
1287	1292	e_n_2_40_24	LOC
1294	1304	e_n_2_40_25	LOC
1317	1336	e_n_2_40_26	LOC
1357	1359	e_n_2_40_27	LOC
1359	1367	e_n_2_40_28	LOC
1442	1457	e_n_2_40_29	LOC
1570	1577	e_n_2_40_30	LOC
1628	1630	e_n_2_40_31	LOCderiv
1644	1653	e_n_2_40_32	LOC
1660	1665	e_n_2_40_33	LOCderiv
