begin	end	entityId	entityKind
7	22	e_t_3_33_0	PER
24	25	e_t_3_33_1	PER
24	27	e_t_3_33_2	PER
27	41	e_t_3_33_3	PER
43	45	e_t_3_33_4	PER
45	47	e_t_3_33_5	PER
47	54	e_t_3_33_6	PER
56	58	e_t_3_33_7	PER
58	73	e_t_3_33_8	PER
75	78	e_t_3_33_9	PER
78	98	e_t_3_33_10	PER
102	104	e_t_3_33_11	PER
104	114	e_t_3_33_12	PER
116	117	e_t_3_33_13	LOC
117	120	e_t_3_33_14	LOC
120	123	e_t_3_33_15	LOC
204	214	e_t_3_33_16	LOCderiv
463	466	e_t_3_33_17	LOC
466	470	e_t_3_33_18	LOC
487	493	e_t_3_33_19	SHP
585	592	e_t_3_33_20	LOC
782	787	e_t_3_33_21	ORG
1327	1334	e_t_3_33_22	LOCderiv
1428	1431	e_t_3_33_23	PER
1432	1438	e_t_3_33_24	LOC
1448	1450	e_t_3_33_25	LOCderiv
1450	1452	e_t_3_33_26	LOCderiv
1470	1478	e_t_3_33_27	LOC
1615	1624	e_t_3_33_28	LOC
