begin	end	entityId	entityKind
3	5	e_t_1_97_0	PER
5	21	e_t_1_97_1	PER
23	25	e_t_1_97_2	PER
25	28	e_t_1_97_3	PER
28	38	e_t_1_97_4	PER
40	53	e_t_1_97_5	PER
57	58	e_t_1_97_6	PER
57	74	e_t_1_97_7	PER
76	77	e_t_1_97_8	LOC
77	80	e_t_1_97_9	LOC
80	83	e_t_1_97_10	LOC
187	197	e_t_1_97_11	LOC
268	272	e_t_1_97_12	LOCderiv
425	429	e_t_1_97_13	LOC
580	584	e_t_1_97_14	LOCderiv
584	588	e_t_1_97_15	LOCderiv
643	651	e_t_1_97_16	LOC
716	722	e_t_1_97_17	PER
834	844	e_t_1_97_18	LOC
874	881	e_t_1_97_19	LOC
948	952	e_t_1_97_20	LOC
952	955	e_t_1_97_21	LOC
1011	1015	e_t_1_97_22	LOC
1137	1141	e_t_1_97_23	LOCderiv
1294	1298	e_t_1_97_24	LOC
1298	1301	e_t_1_97_25	LOC
1323	1327	e_t_1_97_26	LOCderiv
1327	1331	e_t_1_97_27	LOCderiv
1372	1373	e_t_1_97_28	LOCderiv
1373	1376	e_t_1_97_29	LOCderiv
1399	1404	e_t_1_97_30	LOCderiv
1404	1406	e_t_1_97_31	LOCderiv
1449	1456	e_t_1_97_32	LOC
1475	1485	e_t_1_97_33	LOC
1653	1660	e_t_1_97_34	LOC
