begin	end	entityId	entityKind
5	7	e_2_8_0	PER
7	23	e_2_8_1	PER
27	30	e_2_8_2	PER
30	48	e_2_8_3	PER
50	51	e_2_8_4	LOC
51	57	e_2_8_5	LOC
135	143	e_2_8_6	LOC
168	172	e_2_8_7	LOC
172	175	e_2_8_8	LOC
182	189	e_2_8_9	LOC
310	317	e_2_8_10	LOC
321	324	e_2_8_11	LOC
363	365	e_2_8_12	LOC
365	369	e_2_8_13	LOC
379	382	e_2_8_14	LOC
382	385	e_2_8_15	LOC
452	459	e_2_8_16	LOCderiv
480	485	e_2_8_17	LOCderiv
485	487	e_2_8_18	LOCderiv
559	568	e_2_8_19	LOC
654	662	e_2_8_20	LOC
688	691	e_2_8_21	LOCderiv
691	695	e_2_8_22	LOCderiv
776	781	e_2_8_23	RELderiv
855	860	e_2_8_24	LOC
881	899	e_2_8_25	PER
944	950	e_2_8_26	LOC
971	972	e_2_8_27	SHP
972	978	e_2_8_28	SHP
979	985	e_2_8_29	SHP
990	995	e_2_8_30	LOC
1207	1213	e_2_8_31	LOC
1261	1267	e_2_8_32	LOC
1286	1287	e_2_8_33	LOCderiv
1287	1293	e_2_8_34	LOCderiv
1329	1335	e_2_8_35	LOC
1396	1413	e_2_8_36	PER
1440	1446	e_2_8_37	LOC
1511	1519	e_2_8_38	PER
1534	1540	e_2_8_39	LOC
