begin	end	entityId	entityKind
0	29	e_14_16_0	PER
31	33	e_14_16_1	PER
33	53	e_14_16_2	PER
55	56	e_14_16_3	PER
55	68	e_14_16_4	PER
70	72	e_14_16_5	PER
72	95	e_14_16_6	PER
97	113	e_14_16_7	PER
115	116	e_14_16_8	PER
115	118	e_14_16_9	PER
118	131	e_14_16_10	PER
133	134	e_14_16_11	PER
134	136	e_14_16_12	PER
136	149	e_14_16_13	PER
151	152	e_14_16_14	PER
152	155	e_14_16_15	PER
155	163	e_14_16_16	PER
165	166	e_14_16_17	PER
166	193	e_14_16_18	PER
195	197	e_14_16_19	PER
197	220	e_14_16_20	PER
222	223	e_14_16_21	PER
223	242	e_14_16_22	PER
246	248	e_14_16_23	PER
248	271	e_14_16_24	PER
273	274	e_14_16_25	LOC
274	277	e_14_16_26	LOC
277	280	e_14_16_27	LOC
349	358	e_14_16_28	SHP
466	478	e_14_16_29	LOC
514	523	e_14_16_30	LOC
572	577	e_14_16_31	LOC
656	666	e_14_16_32	ORG
716	720	e_14_16_33	LOC
1012	1015	e_14_16_34	LOC
1018	1028	e_14_16_35	ORG
1064	1069	e_14_16_36	LOC
1342	1366	e_14_16_37	PER
1393	1421	e_14_16_38	PER
1587	1592	e_14_16_39	LOC
