begin	end	entityId	entityKind
41	47	e_n_4_40_0	LOCderiv
57	72	e_n_4_40_1	SHP
76	86	e_n_4_40_2	SHP
130	138	e_n_4_40_3	LOC
286	289	e_n_4_40_4	SHP
289	293	e_n_4_40_5	SHP
313	315	e_n_4_40_6	LOC
315	317	e_n_4_40_7	LOC
329	336	e_n_4_40_8	SHP
351	355	e_n_4_40_9	LOC
355	358	e_n_4_40_10	LOC
370	380	e_n_4_40_11	SHP
392	394	e_n_4_40_12	LOC
394	395	e_n_4_40_13	LOC
395	398	e_n_4_40_14	LOC
410	413	e_n_4_40_15	SHP
413	418	e_n_4_40_16	SHP
442	445	e_n_4_40_17	LOC
445	448	e_n_4_40_18	LOC
466	468	e_n_4_40_19	SHP
468	478	e_n_4_40_20	SHP
485	498	e_n_4_40_21	SHP
503	509	e_n_4_40_22	LOC
509	511	e_n_4_40_23	LOC
525	528	e_n_4_40_24	LOC
528	531	e_n_4_40_25	LOC
539	543	e_n_4_40_26	PER
543	548	e_n_4_40_27	PER
553	559	e_n_4_40_28	LOC
598	607	e_n_4_40_29	PER
662	672	e_n_4_40_30	SHP
685	689	e_n_4_40_31	SHP
689	694	e_n_4_40_32	SHP
699	710	e_n_4_40_33	SHP
717	727	e_n_4_40_34	SHP
740	749	e_n_4_40_35	SHP
762	764	e_n_4_40_36	SHP
764	780	e_n_4_40_37	SHP
808	823	e_n_4_40_38	PER
835	853	e_n_4_40_39	SHP
884	894	e_n_4_40_40	PER
896	904	e_n_4_40_41	PER
933	938	e_n_4_40_42	SHP
944	947	e_n_4_40_43	LOC
947	951	e_n_4_40_44	LOC
967	970	e_n_4_40_45	SHP
970	976	e_n_4_40_46	SHP
982	990	e_n_4_40_47	LOC
994	999	e_n_4_40_48	LOC
1016	1025	e_n_4_40_49	SHP
1031	1034	e_n_4_40_50	LOC
1034	1038	e_n_4_40_51	LOC
1045	1055	e_n_4_40_52	SHP
1061	1069	e_n_4_40_53	LOC
1073	1078	e_n_4_40_54	LOC
1129	1135	e_n_4_40_55	LOC
1138	1148	e_n_4_40_56	PER
1214	1222	e_n_4_40_57	LOC
1295	1316	e_n_4_40_58	PER
1318	1326	e_n_4_40_59	LOCderiv
1353	1361	e_n_4_40_60	LOC
1390	1393	e_n_4_40_61	LOC
1393	1396	e_n_4_40_62	LOC
1516	1527	e_n_4_40_63	LOCderiv
1563	1565	e_n_4_40_64	LOC
1565	1566	e_n_4_40_65	LOC
1566	1569	e_n_4_40_66	LOC
1611	1615	e_n_4_40_67	LOC
1696	1700	e_n_4_40_68	LOC
