begin	end	entityId	entityKind
270	277	e_n3_62_0	LOC
374	381	e_n3_62_1	LOC
438	448	e_n3_62_2	ORG
496	501	e_n3_62_3	LOC
541	545	e_n3_62_4	PER
683	687	e_n3_62_5	LOC
832	841	e_n3_62_6	LOC
873	877	e_n3_62_7	LOC
903	909	e_n3_62_8	ORG
913	917	e_n3_62_9	PER
965	972	e_n3_62_10	LOC
996	1001	e_n3_62_11	LOC
1089	1098	e_n3_62_12	LOCderiv
1183	1189	e_n3_62_13	LOCderiv
1209	1212	e_n3_62_14	LOC
1387	1395	e_n3_62_15	LOCderiv
1403	1409	e_n3_62_16	LOC
1436	1446	e_n3_62_17	ORG
1460	1473	e_n3_62_18	ORG
1517	1525	e_n3_62_19	LOC
1612	1618	e_n3_62_20	PER
1650	1657	e_n3_62_21	LOC
1681	1691	e_n3_62_22	LOCderiv
1790	1799	e_n3_62_23	LOCderiv
1861	1868	e_n3_62_24	LOCderiv
2073	2084	e_n3_62_25	LOCderiv
2088	2097	e_n3_62_26	LOCderiv
2143	2153	e_n3_62_27	ORG
2175	2183	e_n3_62_28	LOCderiv
2216	2226	e_n3_62_29	LOCderiv
2228	2237	e_n3_62_30	LOCderiv
2241	2250	e_n3_62_31	LOCderiv
2285	2291	e_n3_62_32	LOC
2302	2306	e_n3_62_33	LOC
2348	2360	e_n3_62_34	LOC
2396	2400	e_n3_62_35	LOC
2449	2462	e_n3_62_36	PER
2500	2505	e_n3_62_37	PER
2511	2518	e_n3_62_38	LOC
2602	2610	e_n3_62_39	LOCderiv
2638	2645	e_n3_62_40	LOC
2755	2764	e_n3_62_41	ORG
2934	2950	e_n3_62_42	PER
2962	2980	e_n3_62_43	ORG
2984	2991	e_n3_62_44	LOC
3010	3017	e_n3_62_45	LOC
3031	3036	e_n3_62_46	LOC
3114	3121	e_n3_62_47	LOC
3188	3194	e_n3_62_48	LOC
3226	3231	e_n3_62_49	LOC
3387	3394	e_n3_62_50	LOC
3405	3411	e_n3_62_51	PER
3417	3423	e_n3_62_52	LOC
3484	3489	e_n3_62_53	LOC
3524	3532	e_n3_62_54	LOC
3538	3543	e_n3_62_55	LOC
3590	3595	e_n3_62_56	GPE
3599	3606	e_n3_62_57	LOC
3652	3657	e_n3_62_58	GPE
3675	3681	e_n3_62_59	LOC
3736	3761	e_n3_62_60	PER
3769	3790	e_n3_62_61	ORG
3865	3872	e_n3_62_62	LOC
3915	3921	e_n3_62_63	LOC
3934	3943	e_n3_62_64	LOC
3958	3964	e_n3_62_65	LOC
4026	4032	e_n3_62_66	LOC
4067	4072	e_n3_62_67	LOC
4078	4081	e_n3_62_68	LOC
4130	4136	e_n3_62_69	LOC
4195	4203	e_n3_62_70	LOC
4289	4307	e_n3_62_71	LOC
4389	4397	e_n3_62_72	LOCderiv
4443	4448	e_n3_62_73	LOC
4536	4546	e_n3_62_74	LOCderiv
4571	4576	e_n3_62_75	LOC
