begin	end	entityId	entityKind
4	18	e_t6_32_0	PER
20	40	e_t6_32_1	PER
42	54	e_t6_32_2	PER
56	68	e_t6_32_3	PER
70	85	e_t6_32_4	PER
87	108	e_t6_32_5	PER
110	125	e_t6_32_6	PER
127	142	e_t6_32_7	PER
144	157	e_t6_32_8	PER
159	179	e_t6_32_9	PER
181	201	e_t6_32_10	PER
205	221	e_t6_32_11	PER
223	230	e_t6_32_12	LOC
284	292	e_t6_32_13	LOCderiv
304	311	e_t6_32_14	LOC
500	505	e_t6_32_15	ORG
699	705	e_t6_32_16	ORG
909	914	e_t6_32_17	LOC
918	926	e_t6_32_18	LOC
1024	1031	e_t6_32_19	LOCderiv
1059	1070	e_t6_32_20	LOC
1901	1909	e_t6_32_21	LOC
1913	1918	e_t6_32_22	LOC
1976	1982	e_t6_32_23	ORG
2359	2369	e_t6_32_24	LOC
2424	2430	e_t6_32_25	ORG
2519	2523	e_t6_32_26	LOC
2837	2847	e_t6_32_27	LOC
2851	2855	e_t6_32_28	LOC
3066	3070	e_t6_32_29	PER
3124	3128	e_t6_32_30	LOC
3358	3363	e_t6_32_31	LOC
3514	3525	e_t6_32_32	LOC
3651	3656	e_t6_32_33	ORG
3704	3708	e_t6_32_34	PER
3777	3789	e_t6_32_35	LOCderiv
3805	3809	e_t6_32_36	LOC
3813	3819	e_t6_32_37	ORG
4523	4528	e_t6_32_38	ORG
4613	4621	e_t6_32_39	LOC
6848	6853	e_t6_32_40	ORG
6896	6901	e_t6_32_41	ORG
6954	6958	e_t6_32_42	LOC
7054	7061	e_t6_32_43	LOC
7434	7443	e_t6_32_44	LOCderiv
7448	7454	e_t6_32_45	LOCderiv
7526	7533	e_t6_32_46	LOCderiv
7566	7575	e_t6_32_47	LOCderiv
7812	7821	e_t6_32_48	ORG
7879	7888	e_t6_32_49	LOCderiv
8197	8205	e_t6_32_50	LOCderiv
8342	8347	e_t6_32_51	LOC
8466	8474	e_t6_32_52	LOCderiv
8526	8534	e_t6_32_53	LOCderiv
8545	8557	e_t6_32_54	PER
8579	8585	e_t6_32_55	LOCderiv
8592	8602	e_t6_32_56	ORG
8671	8684	e_t6_32_57	PER
8768	8775	e_t6_32_58	LOCderiv
8785	8790	e_t6_32_59	ORG
8866	8876	e_t6_32_60	PER
8894	8904	e_t6_32_61	RELderiv
8965	8973	e_t6_32_62	LOC
9060	9067	e_t6_32_63	LOCderiv
9193	9199	e_t6_32_64	RELderiv
9259	9264	e_t6_32_65	LOC
9470	9477	e_t6_32_66	RELderiv
9534	9542	e_t6_32_67	LOCderiv
9587	9593	e_t6_32_68	LOC
9611	9628	e_t6_32_69	SHP
9641	9654	e_t6_32_70	SHP
9682	9691	e_t6_32_71	LOCderiv
9707	9716	e_t6_32_72	ORG
9774	9780	e_t6_32_73	LOC
9883	9893	e_t6_32_74	LOC
9937	9944	e_t6_32_75	LOC
10017	10030	e_t6_32_76	LOC
10087	10097	e_t6_32_77	LOCderiv
10099	10105	e_t6_32_78	RELderiv
10107	10115	e_t6_32_79	RELderiv
10284	10290	e_t6_32_80	LOC
10292	10300	e_t6_32_81	LOC
10302	10309	e_t6_32_82	LOC
10314	10322	e_t6_32_83	LOC
10331	10340	e_t6_32_84	LOC
10342	10346	e_t6_32_85	LOC
10414	10421	e_t6_32_86	LOC
10453	10460	e_t6_32_87	LOC
10616	10629	e_t6_32_88	LOC
10681	10689	e_t6_32_89	PER
10718	10725	e_t6_32_90	SHP
11013	11019	e_t6_32_91	ORG
11249	11255	e_t6_32_92	ORG
11418	11429	e_t6_32_93	LOC
11437	11447	e_t6_32_94	LOC
11518	11527	e_t6_32_95	LOC
11585	11592	e_t6_32_96	LOCderiv
11606	11614	e_t6_32_97	LOC
11656	11665	e_t6_32_98	SHP
11712	11718	e_t6_32_99	ORG
11892	11903	e_t6_32_100	LOC
12019	12028	e_t6_32_101	LOCderiv
12059	12077	e_t6_32_102	PER
12350	12356	e_t6_32_103	LOC
12411	12416	e_t6_32_104	PER
12448	12459	e_t6_32_105	PER
12655	12661	e_t6_32_106	LOC
12758	12766	e_t6_32_107	LOCderiv
12931	12940	e_t6_32_108	PER
13000	13005	e_t6_32_109	ORG
13053	13060	e_t6_32_110	PER
13106	13115	e_t6_32_111	PER
13203	13211	e_t6_32_112	LOC
13215	13220	e_t6_32_113	LOC
13229	13242	e_t6_32_114	LOCderiv
13268	13275	e_t6_32_115	PER
13306	13315	e_t6_32_116	PER
13321	13331	e_t6_32_117	LOC
13336	13346	e_t6_32_118	LOC
13388	13393	e_t6_32_119	ORG
13500	13510	e_t6_32_120	LOC
13668	13680	e_t6_32_121	PER
13685	13691	e_t6_32_122	LOC
13764	13774	e_t6_32_123	LOCderiv
13855	13861	e_t6_32_124	ORG
13904	13909	e_t6_32_125	LOC
13928	13936	e_t6_32_126	LOCderiv
14072	14080	e_t6_32_127	LOCderiv
14093	14101	e_t6_32_128	LOC
14262	14267	e_t6_32_129	LOC
14335	14340	e_t6_32_130	LOC
14345	14350	e_t6_32_131	LOC
14458	14463	e_t6_32_132	LOC
14472	14478	e_t6_32_133	LOC
14598	14603	e_t6_32_134	ORG
14607	14615	e_t6_32_135	LOC
14679	14685	e_t6_32_136	RELderiv
14686	14700	e_t6_32_137	LOCpart
14816	14822	e_t6_32_138	RELderiv
14934	14939	e_t6_32_139	ORG
15085	15090	e_t6_32_140	RELderiv
15099	15112	e_t6_32_141	PER
15152	15157	e_t6_32_142	ORG
